Trend;Totaal;Zeevaart;Binnenvaart;Wegvervoer;Spoorvervoer;Luchtvaart
2011;1593418;550745;345469;658030;39174;
2012;1569812;557264;343030;631891;37627;
2013;1588041;558542;348426;642146;38927;
2014;1608518;571636;357738;639777;39367;
2015;1627248;594272;349717;641538;41721;
2016;1642402;588772;354587;656428;42615;
2017;1662425;595810;359356;666069;41190;
2018;1675645;604542;349480;680065;41558;
2019;1686732;607527;347714;688837;42654;
2020;1617840;557583;335892;684348;40017;
2021;1691911;589706;357594;701990;42621;
2022;1681319;596425;345479;694946;44469;
